Процент правильного получения: 100.000000 

in=227, out=227, time=1245412
in=228, out=228, time=1245587
in=229, out=229, time=1245762
in=230, out=230, time=1245937
in=231, out=231, time=1246112
in=232, out=232, time=1246287
in=233, out=233, time=1246462
in=234, out=234, time=1246637
in=235, out=235, time=1246812
in=236, out=236, time=1246987
in=237, out=237, time=1247162
in=238, out=238, time=1247337
in=239, out=239, time=1247512
in=240, out=240, time=1247687
in=241, out=241, time=1247862
in=242, out=242, time=1248037
in=243, out=243, time=1248212
in=244, out=244, time=1248387
in=245, out=245, time=1248562
in=246, out=246, time=1248737
in=247, out=247, time=1248912
in=248, out=248, time=1249087
in=249, out=249, time=1249262
in=250, out=250, time=1249437
in=251, out=251, time=1249612
in=252, out=252, time=1249787
in=253, out=253, time=1249962
in=254, out=254, time=1250137
in=255, out=255, time=1250312
